1	Connecticut 4	BE	31-8	+29.86	120.8	3	90.9	7	66.6	204	-.056	304	+10.39	17	109.7	29	99.3	14	-1.75	208
2	Houston 1	Amer	33-4	+27.72	118.1	11	90.4	5	63.5	339	+.023	122	+4.56	89	107.2	95	102.6	81	-0.03	161
3	UCLA 2	P12	31-6	+27.29	115.2	21	88.0	2	66.1	235	-.009	218	+8.70	39	109.2	38	100.5	47	+0.15	155
4	Alabama 1	SEC	31-6	+27.28	115.5	20	88.2	3	72.6	4	+.057	56	+11.07	11	110.2	16	99.2	10	+10.46	4
5	Texas 2	B12	29-9	+24.43	116.5	15	92.1	13	68.8	98	+.017	140	+11.91	7	111.1	3	99.2	12	-0.76	183
6	Tennessee 4	SEC	25-11	+23.80	111.3	64	87.5	1	65.1	288	-.063	317	+8.69	40	109.2	40	100.5	46	+2.76	86
7	Purdue 1	B10	29-6	+23.24	117.7	12	94.5	24	64.2	324	+.021	129	+9.17	32	110.1	20	100.9	53	+0.71	138
8	Gonzaga 3	WCC	31-6	+23.02	122.3	1	99.3	73	70.3	39	+.080	32	+8.26	45	110.1	17	101.9	70	+7.81	12
9	Kansas 1	B12	28-8	+22.85	114.6	25	91.8	11	69.2	75	+.082	28	+13.38	1	111.0	5	97.6	2	+6.59	21
10	Marquette 2	BE	29-7	+22.38	119.1	7	96.7	43	68.1	136	+.009	162	+9.31	30	109.5	32	100.2	36	-1.15	193
11	Arizona 2	P12	28-7	+21.90	118.2	10	96.3	39	72.0	13	+.027	109	+8.32	44	107.5	85	99.2	11	+3.12	77
12	Creighton 6	BE	24-13	+21.83	115.0	23	93.2	14	67.8	143	-.068	325	+11.15	10	111.0	4	99.8	26	+5.97	27
13	Saint Mary's 5	WCC	27-8	+21.24	112.6	44	91.4	10	61.6	359	+.006	167	+6.45	67	109.7	28	103.2	99	+3.94	59
14	San Diego St. 5	MWC	32-7	+20.34	110.8	75	90.4	4	65.7	262	+.075	36	+9.58	27	110.4	10	100.8	51	+6.80	17
15	Xavier 3	BE	27-10	+19.95	118.5	8	98.6	64	70.5	33	+.005	175	+10.42	16	110.3	13	99.9	27	+3.40	70
