1	Florida 3	SEC	33-6	+28.28	117.9	3	89.7	7	66.9	102	-.011	194	+8.35	24	107.7	24	99.3	47	-8.46	320
2	Duke 1	ACC	32-4	+27.54	119.4	1	91.8	16	69.8	29	+.047	56	+10.51	5	108.1	16	97.6	4	+6.81	37
3	Texas 2	B12	30-7	+25.79	117.5	6	91.7	15	63.9	233	+.039	73	+7.79	35	106.1	55	98.3	14	-0.02	158
4	Connecticut 1	BE	30-4	+25.44	117.8	5	92.3	18	68.7	49	+.077	26	+8.98	18	107.4	29	98.4	16	-3.80	252
5	Villanova 1	BE	28-5	+24.59	116.3	11	91.7	14	65.6	143	+.080	20	+10.79	2	108.4	5	97.6	5	+3.17	72
6	Memphis 1	CUSA	33-4	+23.54	113.2	22	89.6	6	70.8	17	-.007	185	+3.89	91	103.9	128	100.0	68	+7.82	26
7	UCLA 2	P10	32-7	+23.40	112.7	31	89.3	4	61.6	298	+.020	115	+8.30	27	107.4	31	99.1	37	+1.60	116
8	Kansas 4	B12	25-8	+23.22	110.4	50	87.2	2	67.7	75	-.043	271	+6.03	64	106.0	63	99.9	65	-1.11	182
9	Illinois 4	B10	26-7	+23.20	114.5	18	91.3	12	62.1	283	-.019	212	+6.77	50	106.4	49	99.6	55	-4.52	268
10	North Carolina 3	ACC	23-8	+22.16	115.9	13	93.7	28	70.2	23	-.010	191	+9.10	16	107.6	26	98.6	23	-0.83	176
11	LSU 4	SEC	27-9	+22.00	109.8	62	87.8	3	67.5	90	+.008	146	+10.68	3	108.3	10	97.6	6	+1.75	109
12	Pittsburgh 5	BE	25-8	+21.72	112.4	33	90.6	9	64.6	203	-.031	244	+7.81	34	108.0	21	100.1	72	-6.92	304
13	Georgetown 7	BE	23-10	+21.29	116.5	9	95.2	46	57.8	329	-.026	226	+9.58	11	108.1	14	98.5	22	-1.83	208
14	Ohio St. 2	B10	26-6	+20.68	113.0	25	92.3	19	65.2	169	+.028	97	+6.74	53	107.0	37	100.3	76	-3.33	241
15	Washington 5	P10	26-7	+20.09	114.8	16	94.7	38	71.6	10	+.007	151	+5.21	78	105.5	71	100.3	75	-7.56	313
16	West Virginia 6	BE	22-11	+19.49	116.1	12	96.6	62	62.5	276	-.046	278	+10.37	7	108.4	7	98.0	9	-0.49	164
17	Tennessee 2	SEC	22-8	+19.44	116.6	8	97.2	72	71.1	13	+.012	140	+9.44	13	108.0	20	98.5	20	-0.74	171
18	Boston College 4	ACC	28-8	+18.65	117.8	4	99.2	99	61.5	301	+.024	106	+7.43	41	107.1	34	99.7	60	-5.69	287
19	South Carolina	SEC	23-15	+18.54	114.9	14	96.4	55	59.2	324	-.057	288	+10.30	8	108.4	6	98.1	11	+0.22	149
20	Arkansas 8	SEC	22-10	+18.47	112.2	34	93.8	29	66.0	133	-.062	293	+6.35	58	106.0	62	99.6	57	-4.78	274
21	Iowa 3	B10	25-9	+18.22	103.8	154	85.6	1	64.7	194	+.046	59	+7.86	33	107.7	23	99.9	64	-0.77	173
22	George Mason 11	CAA	27-8	+18.16	109.7	66	91.5	13	62.6	269	+.017	121	+4.11	88	105.3	77	101.2	101	+2.16	92
23	Arizona 8	P10	20-13	+17.23	112.2	35	95.0	40	67.7	78	-.037	256	+10.53	4	108.0	18	97.5	2	+9.27	16
24	Kentucky 8	SEC	22-13	+17.13	114.4	19	97.3	75	64.1	228	-.001	173	+10.02	9	108.2	12	98.2	12	+3.02	74
25	Bradley 13	MVC	22-11	+16.50	107.5	86	91.0	11	69.3	37	-.019	213	+6.94	46	105.4	74	98.5	19	-2.22	217
26	Wichita St. 7	MVC	26-9	+16.06	111.8	38	95.7	49	62.6	267	+.032	89	+6.03	65	104.7	96	98.7	26	+0.35	146
27	Michigan St. 6	B10	22-12	+16.02	116.3	10	100.3	119	64.2	223	+.004	161	+8.89	19	106.4	48	97.5	3	-1.03	179
28	Michigan	B10	22-11	+15.98	113.1	23	97.2	71	67.0	101	+.012	139	+7.94	32	106.7	44	98.8	28	-0.97	177
29	Notre Dame	BE	16-14	+15.97	117.3	7	101.4	136	64.2	222	-.145	333	+7.75	36	108.3	9	100.5	84	-4.54	269
30	N.C. State 10	ACC	22-10	+15.92	112.5	32	96.6	60	64.4	216	+.013	135	+6.74	52	107.1	36	100.3	78	-7.99	316
31	Texas A&M 12	B12	22-9	+15.90	106.7	103	90.8	10	63.0	260	-.008	188	+4.22	86	104.8	94	100.6	85	-12.20	331
32	Northern Iowa 10	MVC	23-10	+15.84	109.0	75	93.1	21	59.6	321	-.025	222	+6.18	59	104.4	103	98.2	13	+0.24	148
33	Gonzaga 3	WCC	29-4	+15.64	119.1	2	103.5	174	66.3	121	+.036	79	+4.38	84	104.4	104	100.0	69	+7.98	25
34	Indiana 6	B10	19-12	+15.53	110.0	58	94.4	33	66.5	118	-.012	197	+9.77	10	108.8	1	99.0	32	+2.17	91
35	Missouri St.	MVC	22-9	+15.52	111.0	46	95.5	47	68.6	51	+.039	72	+6.14	61	104.8	93	98.7	25	+1.80	106
36	Marquette 7	BE	20-11	+15.36	112.8	27	97.4	78	68.1	67	-.012	196	+8.82	20	108.6	3	99.8	61	-1.71	202
37	Nevada 5	WAC	27-6	+15.22	110.0	57	94.8	39	65.8	137	+.024	107	+1.90	119	103.6	143	101.7	122	+3.89	60
38	Florida St.	ACC	20-10	+15.01	110.1	54	95.1	44	68.3	62	-.033	250	+5.43	74	106.0	60	100.6	86	-11.70	330
39	Wisconsin 9	B10	19-12	+14.94	111.5	40	96.6	61	65.2	171	-.024	219	+7.96	31	106.6	46	98.6	24	+0.91	130
40	Air Force 13	MWC	24-7	+14.87	113.2	21	98.3	89	54.7	332	-.001	172	+0.57	147	102.8	176	102.2	137	-6.63	300
41	Saint Joseph's	A10	19-14	+14.84	109.8	64	95.0	42	61.9	290	-.064	295	+7.64	39	106.7	43	99.1	36	+12.40	6
42	UNC Wilmington 9	CAA	25-8	+14.77	107.2	93	92.4	20	62.6	270	-.006	183	+1.59	126	103.6	145	102.0	131	+0.11	153
43	George Washington 8	A10	27-3	+14.67	110.3	52	95.6	48	71.2	12	+.106	7	-1.23	184	101.1	237	102.4	139	-15.01	333
44	Cincinnati	BE	21-13	+14.27	110.9	47	96.6	63	68.5	57	-.001	171	+8.99	17	107.0	38	98.0	10	+2.61	83
45	Oklahoma 6	B12	20-9	+13.99	113.0	26	99.0	95	62.4	278	+.049	52	+6.16	60	105.5	69	99.3	46	-0.61	166
46	Louisville	BE	21-13	+13.98	108.2	78	94.2	32	64.8	191	-.041	266	+6.11	62	106.8	42	100.7	91	-8.19	317
47	California 7	P10	20-11	+13.68	110.5	49	96.8	68	61.9	293	+.021	110	+7.59	40	106.8	41	99.3	44	-0.77	172
48	Southern Illinois 11	MVC	22-11	+13.60	102.9	166	89.3	5	60.7	311	+.032	88	+5.81	69	103.6	144	97.8	7	+0.44	143
49	Vanderbilt	SEC	17-13	+13.58	114.7	17	101.2	131	61.9	291	-.030	239	+8.56	23	108.1	15	99.5	53	-2.76	226
50	Syracuse 5	BE	23-12	+13.15	110.0	60	96.8	67	68.3	63	+.077	24	+8.71	22	107.5	28	98.8	29	-3.79	251
51	Creighton	MVC	20-10	+13.11	107.2	91	94.1	30	62.7	264	+.000	168	+5.24	77	103.7	139	98.5	18	-1.08	181
52	San Diego St. 11	MWC	24-9	+12.78	112.8	29	100.0	114	66.1	130	-.001	170	+2.27	109	103.7	136	101.5	112	-2.20	216
53	Oklahoma St.	B12	17-16	+12.76	107.9	80	95.2	45	64.7	193	-.096	319	+6.50	55	106.6	45	100.1	70	-1.32	192
54	Xavier 14	A10	21-11	+12.73	110.9	48	98.2	86	65.3	163	-.065	298	+1.91	117	103.6	148	101.6	117	-3.38	244
55	Miami FL	ACC	18-16	+12.71	111.2	43	98.5	91	61.0	305	-.039	260	+9.46	12	108.0	17	98.5	21	-3.68	249
56	UAB 9	CUSA	24-7	+12.65	109.1	71	96.5	59	68.5	53	+.058	45	+1.51	129	101.8	215	100.3	77	+0.98	127
