1	Virginia 1	ACC	35-3	+34.22	123.4	2	89.2	5	59.4	353	+.050	62	+11.18	22	109.2	34	98.1	14	-3.24	255
2	Gonzaga 1	WCC	33-4	+32.85	124.5	1	91.6	12	70.2	62	-.001	180	+4.46	75	106.9	69	102.5	87	+1.87	105
3	Michigan St. 2	B10	32-7	+30.81	121.0	5	90.2	9	66.9	211	+.001	177	+13.67	2	110.6	7	96.9	1	+3.24	82
4	Duke 1	ACC	32-6	+30.62	120.0	7	89.3	6	72.1	20	+.018	134	+12.85	7	110.7	4	97.8	11	+5.08	40
5	Texas Tech 3	B12	31-7	+30.03	114.1	25	84.1	1	66.6	231	+.004	171	+11.18	21	109.8	19	98.7	22	-5.39	307
6	Michigan 2	B10	30-7	+28.32	114.5	24	86.2	2	64.8	317	-.001	181	+11.27	20	109.2	35	98.0	12	-5.42	309
7	North Carolina 1	ACC	29-7	+27.69	119.7	8	92.0	15	74.3	6	+.024	116	+12.60	8	110.7	2	98.1	15	+5.69	28
8	Kentucky 2	SEC	30-7	+27.57	117.6	14	90.1	8	65.6	284	+.033	98	+11.32	19	110.7	5	99.4	34	+1.75	107
9	Purdue 3	B10	26-10	+26.81	122.5	4	95.6	34	65.9	268	-.015	224	+13.16	4	110.3	13	97.1	3	+4.09	55
10	Tennessee 2	SEC	31-6	+26.24	122.7	3	96.5	42	67.8	164	+.034	96	+10.69	25	109.7	23	99.0	28	+0.92	129
11	Auburn 5	SEC	30-10	+25.00	120.9	6	95.9	36	67.9	155	+.008	162	+12.23	11	110.7	3	98.5	20	+2.63	96
12	Houston 3	Amer	33-4	+24.13	115.3	19	91.2	11	66.1	260	+.039	86	+4.45	76	105.7	92	101.3	62	-4.16	283
13	Virginia Tech 4	ACC	26-9	+24.07	118.1	11	94.0	20	63.7	334	-.005	195	+8.47	47	108.3	49	99.9	42	-6.26	325
14	Florida St. 4	ACC	29-8	+22.39	112.8	36	90.4	10	68.6	121	+.046	70	+10.46	30	109.8	20	99.3	33	+0.93	128
15	Iowa St. 6	B12	23-12	+22.09	118.9	9	96.8	47	67.7	171	-.063	316	+10.78	23	109.3	29	98.5	21	-1.56	206
16	Wisconsin 5	B10	23-11	+21.94	110.4	62	88.5	4	63.9	331	-.018	228	+12.97	6	110.3	14	97.3	6	+3.14	87
17	Kansas 4	B12	26-10	+21.57	113.9	27	92.3	17	70.1	66	+.076	26	+14.13	1	111.8	1	97.7	8	+10.36	4
18	Wofford 7	SC	30-5	+20.69	118.1	10	97.4	56	65.7	278	+.046	68	+1.82	97	106.0	83	104.2	144	+8.37	6
19	LSU 3	SEC	28-7	+20.22	117.7	12	97.5	59	70.0	67	+.063	36	+10.02	35	109.3	30	99.3	32	+2.77	92
20	Kansas St. 4	B12	25-9	+20.06	108.4	98	88.4	3	63.4	339	+.049	65	+10.22	32	109.3	31	99.1	29	-0.96	186
21	Mississippi St. 5	SEC	23-11	+20.04	117.7	13	97.6	61	67.8	161	-.038	270	+10.09	34	110.1	17	100.0	44	+2.22	100
22	Buffalo 6	MAC	32-4	+19.85	115.2	21	95.4	31	73.6	11	+.056	50	+3.14	89	105.5	100	102.4	82	+1.15	121
23	Louisville 7	ACC	20-14	+19.35	113.7	28	94.4	24	67.2	199	-.060	309	+11.95	16	110.4	10	98.4	19	+5.36	32
24	Maryland 6	B10	23-11	+19.29	113.4	31	94.1	21	66.0	264	-.004	189	+10.75	24	109.8	18	99.1	30	-4.92	299
25	Texas	B12	21-16	+19.11	113.5	29	94.4	26	64.7	320	-.080	332	+11.96	15	110.3	12	98.3	17	+4.98	41
26	Florida 10	SEC	20-16	+18.30	110.5	61	92.2	16	62.9	344	-.063	315	+12.00	14	110.7	6	98.7	23	+5.12	39
27	Nevada 7	MWC	29-5	+18.18	114.0	26	95.9	35	69.3	91	+.033	99	+1.42	103	105.4	111	103.9	130	+1.79	106
28	Oregon 12	P12	25-13	+17.86	109.5	74	91.7	13	64.2	328	-.048	292	+5.47	66	107.7	59	102.3	78	+0.43	145
29	Cincinnati 7	Amer	28-7	+17.50	112.3	42	94.8	28	63.4	338	+.050	64	+5.12	67	107.1	66	102.0	73	-2.85	243
30	Villanova 6	BE	26-10	+17.33	116.5	16	99.2	81	63.6	335	+.044	73	+8.00	51	108.8	44	100.8	55	+3.32	78
31	Saint Mary's 11	WCC	22-12	+17.31	114.7	23	97.4	55	62.7	348	-.045	285	+3.66	82	106.6	76	103.0	100	-0.90	183
32	Oklahoma 9	B12	20-14	+16.94	111.1	57	94.1	23	68.6	123	+.023	119	+13.27	3	110.3	11	97.1	2	+7.44	12
33	Marquette 5	BE	24-10	+16.52	113.2	32	96.7	45	68.8	116	+.010	154	+6.77	57	107.4	63	100.7	51	+0.29	151
34	UCF 9	Amer	24-9	+16.51	112.1	44	95.6	33	65.0	309	+.011	152	+4.99	69	105.9	90	100.9	57	-3.71	264
35	Baylor 9	B12	20-14	+16.48	115.3	20	98.8	75	65.2	297	-.029	255	+10.49	28	108.8	43	98.3	18	-4.04	276
37	Iowa 10	B10	23-12	+16.02	117.4	15	101.3	111	69.5	84	+.050	63	+10.64	26	108.9	42	98.3	16	-6.49	329
38	Utah St. 8	MWC	28-7	+15.41	112.6	39	97.2	52	68.1	145	+.012	149	+0.02	139	104.5	147	104.4	158	+0.81	135
39	Syracuse 8	ACC	20-14	+15.13	110.5	59	95.3	30	66.1	257	-.004	188	+9.40	38	108.6	46	99.2	31	+0.17	156
